Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,23-Nov-2017,335.3,335.5,336.65,331.65,335.95,334.95,334.41,13338423,4460474053.8,94231,2356413,17.67
SBIN,EQ,24-Nov-2017,334.95,336,337,331.5,332.1,332.4,334.43,11716981,3918485702.75,79929,3932294,33.56
SBIN,EQ,27-Nov-2017,332.4,329.9,337,328.05,336.8,335.65,332.25,13114683,4357369789.65,118956,4101695,31.28
SBIN,EQ,28-Nov-2017,335.65,336,336.7,331.2,331.9,332,333.41,16054996,5352952948.25,108251,6396037,39.84
SBIN,EQ,29-Nov-2017,332,332.35,334.85,327.2,327.8,328.9,331.35,11264624,3732558248.4,71675,4314954,38.31
SBIN,EQ,30-Nov-2017,328.9,325.8,326.5,318.5,321.3,320.35,322.59,27276288,8798983492.05,151417,15294423,56.07
SBIN,EQ,01-Dec-2017,320.35,321.5,322.3,311.25,312.9,312.75,317.75,16425620,5219265941.1,110747,4313778,26.26
SBIN,EQ,04-Dec-2017,312.75,314.7,315.95,311.15,314.25,313.6,313.63,13887727,4355623767.7,90256,4778993,34.41
SBIN,EQ,05-Dec-2017,313.6,312.5,320.7,308.8,320.4,319.1,314.7,15130931,4761730033.45,91857,2799259,18.5
SBIN,EQ,06-Dec-2017,319.1,316.7,317.4,311.5,312.2,312.4,314.2,18658202,5862351282.15,119881,6063591,32.5
SBIN,EQ,07-Dec-2017,312.4,312.5,317.75,312.45,316.25,316.4,315.75,12278558,3876897265.85,79509,3518090,28.65
SBIN,EQ,08-Dec-2017,316.4,316.6,318.85,312.1,313.2,313.1,314.65,16418832,5166222137.95,111096,5919024,36.05
SBIN,EQ,11-Dec-2017,313.1,315.95,319.3,315.1,318.05,318.4,317.56,14014369,4450430335.8,123100,5499869,39.24
SBIN,EQ,12-Dec-2017,318.4,317.75,320.5,314.65,318,318.45,317.6,17658856,5608382060.1,125783,7646507,43.3
SBIN,EQ,13-Dec-2017,318.45,316.15,318.95,311.15,313.35,313.3,316.11,17540585,5544832800.95,107381,6601721,37.64
SBIN,EQ,14-Dec-2017,313.3,314.3,315.4,309.5,313.85,314,312.71,13894451,4344972193.85,90600,3065146,22.06
SBIN,EQ,15-Dec-2017,314,318.4,319.35,311.5,312.35,312.25,314.57,16050711,5049119027.35,130277,7741179,48.23
SBIN,EQ,18-Dec-2017,312.25,308,323.5,300.4,318.7,318.9,316.92,32119915,10179411619.9,200523,6380013,19.86
SBIN,EQ,19-Dec-2017,318.9,319.45,322.25,318.4,320,319.8,320.1,14741481,4718805568.2,97283,5575603,37.82
SBIN,EQ,20-Dec-2017,319.8,319,319,316.5,317.35,317.5,317.75,9895770,3144362825.5,109485,4185704,42.3
SBIN,EQ,21-Dec-2017,317.5,316.6,318.2,315.4,316.3,316.75,316.89,9916409,3142430067.5,98974,4027410,40.61
SBIN,EQ,22-Dec-2017,316.75,317.1,323.85,316.5,319.1,319.85,320.59,13821639,4431084703.8,102536,4181369,30.25
SBIN,EQ,26-Dec-2017,319.85,318.6,319.95,316.3,317,317.15,317.39,9329690,2961127927.4,63313,4279106,45.87
SBIN,EQ,27-Dec-2017,317.15,316.5,320.3,313.05,313.45,314.85,316.25,14276027,4514749324.85,72884,5567092,39
SBIN,EQ,28-Dec-2017,314.85,315.3,316.5,307.65,308.3,308.4,310.67,20353152,6323020584.75,112379,10033866,49.3
SBIN,EQ,29-Dec-2017,308.4,310,312,309.05,310,309.9,310.39,11939569,3705904665.8,98011,5324051,44.59
SBIN,EQ,01-Jan-2018,309.9,310.6,312.75,306.3,306.75,307.1,309.08,12182400,3765314888.6,75769,5697288,46.77
