"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","40.45","44714.00","121835.74","-3.23","-9.81","-15.90","12.99","8.01","41.79","41.99","44.68","44.00","46.14","44.81","46.50","45.03","45.26","44.68","41.90","44.29","47.18","45.76","52.25","40.03","46.14","-1.23","-0.34","-0.89","26.17","17.47","26.10","34.11","17.97","19.29","-92.37","47.30","3.00","2.78","-95.91","0.27","0.00","8.89","-7.65","","2018-10-05"
"21STCENMGM","26.75","2745.00","4092.08","-1.83","-9.01","-21.32","-27.80","0.00","27.79","27.79","29.91","29.45","30.70","30.54","32.89","32.09","34.68","33.21","35.29","34.70","","","34.60","26.81","30.70","-2.02","-1.71","-0.31","48.77","9.17","56.82","16.08","0.00","0.00","-109.61","30.84","0.75","0.76","-100.00","-0.29","0.00","0.00","-7.25","","2018-10-05"
"3IINFOTECH","3.25","3306501.00","3237732.88","-2.99","-5.80","-9.72","-23.53","-15.58","3.34","3.34","3.52","3.44","3.50","3.48","3.52","3.54","3.55","3.62","3.85","3.86","4.90","4.29","3.84","3.15","3.50","-0.07","-0.04","-0.03","14.14","16.89","23.48","38.31","23.28","22.45","-118.28","4.08","0.20","0.20","-95.00","-0.28","0.00","0.00","-0.35","","2018-10-05"
"3MINDIA","21917.20","1463.00","3394.90","-3.45","-4.29","-15.64","12.09","51.49","22586.24","22544.02","23402.92","23259.94","24061.75","23650.55","24704.75","23846.30","24403.40","23642.59","22346.86","22829.01","20796.26","20689.66","26520.94","21602.55","24061.75","-624.27","-352.34","-271.93","41.69","9.07","31.74","28.73","45.64","50.60","-103.15","23800.00","1091.40","1075.99","-83.15","0.26","0.00","41.29","-4064.50","","2018-10-05"
"A2ZINFRA","9.20","735590.00","686247.68","9.52","-40.84","-54.46","-53.65","-74.59","9.85","10.25","14.42","13.34","16.06","14.97","18.20","16.91","19.54","18.22","20.54","20.47","27.23","26.39","23.77","8.36","16.06","-2.91","-2.01","-0.90","38.67","7.21","47.54","15.38","5.56","2.41","-58.85","14.94","1.05","1.35","-91.21","-0.46","100.00","33.33","-11.00","","2018-10-05"
"AARON","39.50","6000.00","","-3.42","-3.66","0.00","0.00","0.00","40.68","40.42","","","","","","","","","","","","","","","","","","","","","","","53.55","69.10","-131.23","41.48","1.40","","","","","","","","2018-10-05"
"AARTIDRUGS","546.40","24933.00","33564.76","-1.45","-4.49","-3.67","1.60","5.30","553.68","556.71","581.06","572.28","595.66","576.84","578.51","576.22","569.35","572.99","560.74","568.57","582.47","568.92","660.99","530.33","595.66","-6.31","1.88","-8.19","31.30","16.37","28.37","39.36","30.78","29.89","-104.41","659.31","27.25","28.02","-92.66","0.14","11.86","35.18","-20.80","","2018-10-05"
"AARTIIND","1199.55","27697.00","32379.92","-0.33","0.94","-11.46","-1.32","36.13","1182.23","1196.48","1232.05","1225.81","1265.84","1248.60","1307.96","1270.85","1303.67","1277.37","1268.44","1267.65","1216.05","1181.82","1401.49","1130.18","1265.84","-39.33","-30.70","-8.63","25.47","13.87","23.44","39.03","78.00","59.90","61.89","1224.95","28.80","53.58","-61.56","0.04","93.54","96.86","-155.20","","2018-10-05"
"AARVEEDEN","24.20","10431.00","20134.90","0.21","-8.51","-17.97","-23.05","-44.50","24.22","24.53","26.23","25.83","27.09","26.71","28.50","28.01","29.88","29.19","31.19","31.76","39.75","37.33","30.86","23.33","27.09","-1.63","-1.37","-0.26","18.26","11.20","19.51","28.29","30.48","23.92","4.72","27.15","1.30","1.95","-80.29","-0.38","100.00","67.36","-5.30","","2018-10-05"
"ABAN","76.95","531642.00","678418.18","-4.88","-12.56","-32.74","-33.78","-57.93","80.60","81.24","90.21","88.75","96.95","93.56","103.97","99.60","106.47","104.58","112.01","115.63","151.98","143.12","121.57","72.33","96.95","-8.63","-6.67","-1.96","43.13","7.08","40.13","17.09","18.94","18.82","-126.52","87.96","4.90","4.76","-97.22","-0.38","49.41","77.43","-37.45","","2018-10-05"
"ABB","1374.75","103463.00","127504.04","-0.59","-3.41","5.30","17.14","-2.41","1402.51","1397.29","1418.88","1402.09","1401.64","1389.20","1351.96","1358.15","1301.61","1331.82","1259.68","1306.27","1336.71","1329.53","1500.81","1302.46","1401.64","27.66","38.57","-10.91","25.99","16.34","21.30","50.32","38.64","48.32","-133.27","1485.43","60.25","62.99","-74.91","0.27","0.00","10.06","69.20","","2018-10-05"
"ABBOTINDIA","7317.45","7647.00","12828.18","-0.18","-6.29","-12.76","3.18","76.91","7531.07","7515.82","7934.18","7804.24","8110.90","7901.73","8024.69","7915.80","7945.45","7826.25","7502.65","7507.79","6548.74","6627.72","8895.41","7326.39","8110.90","-145.62","-15.58","-130.04","32.44","11.41","33.95","27.19","14.00","12.39","-93.88","8463.55","169.85","279.49","-91.03","0.25","0.00","0.00","-1070.30","","2018-10-05"
"ABCAPITAL","107.80","1516268.00","1795856.08","-3.10","-7.51","-23.57","-16.92","-38.72","110.94","111.28","118.50","117.61","124.14","121.80","130.98","126.95","135.29","130.32","135.08","135.96","151.02","151.90","143.92","104.37","124.14","-7.52","-5.99","-1.53","44.75","6.52","40.48","20.08","26.77","27.73","-105.68","113.62","5.15","4.65","-93.44","-0.17","6.01","21.64","-33.25","","2018-10-05"
"ABFRL","180.90","746959.00","2093265.36","-0.90","-2.82","-10.47","29.63","15.04","182.79","182.54","184.32","184.87","187.94","185.91","192.07","184.12","181.72","179.90","163.58","171.45","158.62","164.52","200.15","175.74","187.94","-1.01","0.49","-1.50","38.35","10.77","24.52","43.04","52.25","58.40","-66.13","162.00","7.25","10.07","-41.00","0.46","0.00","3.85","-21.15","","2018-10-05"
"ABGSHIP","3.95","19305.00","27727.56","0.00","-4.82","-16.84","-34.17","-62.91","4.00","4.01","4.12","4.15","4.29","4.28","4.53","4.51","4.80","4.77","5.42","5.45","7.90","7.63","4.83","3.76","4.29","-0.24","-0.24","0.00","40.88","9.35","16.50","32.48","35.00","34.81","-127.19","4.33","0.20","0.32","-82.35","-0.57","48.24","65.50","-0.80","","2018-10-05"
"ABMINTLTD","16.60","1.00","115.18","-4.60","-12.40","-0.30","-33.33","0.00","17.45","17.34","17.62","17.55","17.25","17.65","17.76","18.23","18.40","19.49","22.39","23.36","34.69","34.94","19.10","15.40","17.25","-0.28","-0.36","0.07","28.41","32.70","55.39","39.71","4.63","8.32","-118.06","18.95","0.80","0.53","-85.45","-0.82","0.00","5.08","-0.05","","2018-10-05"
"ACC","1478.60","897662.00","848553.88","-3.23","-5.29","-11.04","10.94","-10.16","1528.43","1519.47","1549.01","1542.31","1550.97","1549.75","1578.05","1546.25","1556.59","1532.31","1452.38","1513.31","1542.20","1568.05","1608.17","1493.77","1550.97","-9.89","-0.06","-9.83","20.06","14.68","23.11","39.47","21.37","31.28","-104.50","1624.58","62.75","58.27","-76.62","0.20","0.00","10.67","-183.50","","2018-10-05"
"ACC-1M","1478.70","1709600.00","1789872.00","-2.82","-5.14","-11.38","10.96","-10.20","1526.42","1517.69","1549.41","1542.62","1554.38","1551.24","1581.57","1548.72","1560.28","1534.96","1454.62","1515.63","1543.43","1570.94","1614.44","1494.32","1554.38","-11.88","-1.28","-10.60","19.62","14.89","24.22","39.21","17.95","28.96","-97.40","1625.49","50.80","55.96","-80.76","0.20","0.00","8.99","-189.85","","2018-10-05"
"ACC-2M","1485.75","4800.00","327776.00","-3.21","-5.35","-11.34","11.42","-7.16","1539.63","1529.67","1559.61","1553.19","1563.25","1560.87","1589.61","1557.07","1566.81","1542.36","1460.03","1521.82","1547.97","1577.46","1619.78","1506.72","1563.25","-10.15","0.04","-10.19","18.16","17.74","28.55","37.47","19.39","30.28","-112.50","1476.60","55.00","49.99","-78.69","0.21","0.00","0.00","-190.05","","2018-10-05"
"ACCELYA","1024.25","5817.00","8262.16","-0.32","0.26","4.12","-12.67","-28.44","1024.01","1025.95","1029.81","1023.43","1015.68","1021.60","1009.76","1027.57","1026.32","1043.94","1093.70","1093.18","1247.91","1208.74","1058.18","973.18","1015.68","1.17","-1.36","2.53","18.79","16.25","14.50","50.38","60.58","59.28","55.05","1044.97","32.00","31.46","-44.99","-0.25","57.21","57.36","40.55","","2018-10-05"
"ACCURACY","70.00","1600.00","","-0.43","-13.63","-26.32","0.00","0.00","75.06","74.48","81.06","79.64","83.27","82.07","86.88","85.47","","","","","","","94.55","71.99","83.27","-4.41","-3.03","-1.38","16.19","22.80","47.28","29.73","0.00","0.00","-85.88","82.15","0.30","3.55","-100.00","","0.00","0.00","-25.00","","2018-10-05"
"ACE","86.55","167328.00","278090.30","-3.03","-17.30","-38.18","-30.17","34.29","92.56","92.63","105.93","103.98","116.09","110.96","125.26","119.57","131.69","125.62","135.30","134.29","154.58","134.97","151.30","80.88","116.09","-12.52","-9.57","-2.95","44.72","5.04","41.83","15.52","8.56","7.11","-100.35","102.96","7.60","6.45","-96.41","-0.35","0.00","0.00","-53.45","","2018-10-05"
"ADANIENT","130.20","6099515.00","18826533.20","-2.07","-8.47","-38.15","22.54","12.92","133.18","133.59","138.75","141.40","146.72","149.33","174.21","158.64","180.65","161.62","156.10","160.66","162.27","158.69","181.24","112.19","146.72","-14.22","-13.61","-0.61","49.85","9.15","30.15","31.10","50.80","55.40","-75.81","143.77","7.50","12.33","-74.63","0.08","46.50","65.77","-80.30","","2018-10-05"
"ADANIENT-1M","130.20","11200000.00","22012480.00","-2.73","-8.28","-38.21","23.18","12.68","133.52","133.87","139.40","141.91","147.49","149.92","174.90","159.27","181.36","162.24","156.55","161.20","162.71","159.30","182.49","112.49","147.49","-14.35","-13.65","-0.70","49.26","9.00","29.72","31.06","46.56","52.06","-90.28","146.49","7.95","12.51","-77.26","0.09","42.49","61.14","-80.50","","2018-10-05"
"ADANIENT-2M","130.60","112000.00","4050960.00","-3.08","-8.70","-38.02","24.50","12.54","134.40","134.71","140.21","142.75","148.32","150.74","175.73","160.05","182.25","162.98","157.08","161.87","163.35","159.96","183.10","113.55","148.32","-14.31","-13.62","-0.70","47.36","13.81","35.55","30.28","48.66","53.72","-60.55","152.65","6.35","10.59","-80.67","0.09","31.47","64.96","-80.10","","2018-10-05"
"ADANIGREEN","33.65","80519.00","1003611.52","-4.94","-21.65","-39.80","27.70","0.00","37.27","37.20","44.15","42.61","47.56","45.49","51.47","47.51","54.28","46.36","","","","","61.59","33.53","47.56","-4.87","-3.13","-1.74","28.52","13.89","49.18","21.59","0.00","0.98","-106.32","44.98","1.75","2.70","-100.00","","0.00","0.00","-22.25","","2018-10-05"
"ADANIPORTS","301.80","7177862.00","3055029.38","-4.81","-9.98","-21.50","-16.80","-18.88","321.57","319.57","343.07","337.47","354.71","346.87","364.88","357.23","372.83","363.29","372.02","370.92","386.90","383.27","404.26","305.15","354.71","-16.53","-11.16","-5.37","36.70","7.47","38.55","18.46","19.26","25.23","-139.28","374.80","20.40","15.87","-95.78","-0.09","0.00","11.71","-82.65","","2018-10-05"
"ADANIPORTS-1M","302.80","11870000.00","9016850.00","-4.96","-9.42","-21.76","-17.03","-18.67","323.16","320.84","344.22","338.74","356.10","348.17","366.27","358.53","374.12","364.53","372.99","372.04","387.87","384.45","406.08","306.11","356.10","-16.57","-11.20","-5.37","36.21","7.40","37.69","19.36","20.40","28.18","-136.88","368.31","18.55","15.83","-96.89","-0.09","0.00","20.65","-84.20","","2018-10-05"
"ADANIPORTS-2M","305.20","905000.00","1508750.00","-4.88","-9.32","-21.43","-16.52","-18.26","324.47","322.52","345.80","340.35","357.72","349.83","368.05","360.22","375.93","366.22","374.57","373.72","389.61","386.19","407.74","307.69","357.72","-16.65","-11.29","-5.35","34.88","7.72","40.33","18.86","16.47","22.81","-136.38","353.84","18.85","14.17","-96.37","-0.09","0.00","7.60","-83.25","","2018-10-05"
"ADANIPOWER","23.45","15616716.00","38495684.22","-3.70","-8.58","-30.42","46.56","-19.97","24.72","24.66","26.19","26.22","27.98","27.24","30.03","27.96","29.85","27.77","24.93","27.06","28.18","28.65","34.03","21.92","27.98","-1.70","-1.19","-0.50","33.53","9.85","34.35","34.12","51.20","59.39","-112.80","22.20","2.00","2.17","-85.33","0.41","32.31","61.21","-10.25","","2018-10-05"
"ADANIPOWER-1M","23.55","16580000.00","36991200.00","-3.88","-7.83","-30.43","46.27","-19.76","24.85","24.76","26.24","26.31","28.08","27.34","30.16","28.08","30.03","27.90","25.05","27.18","28.29","28.80","34.26","21.89","28.08","-1.72","-1.23","-0.49","30.71","10.91","32.94","34.15","48.58","58.58","-108.71","22.54","1.85","2.19","-87.85","0.41","34.04","62.90","-10.30","","2018-10-05"
"ADANIPOWER-2M","23.90","200000.00","15769600.00","-3.82","-7.18","-30.72","52.72","-18.71","24.85","24.93","26.37","26.44","28.25","27.48","30.34","28.19","30.08","27.99","25.07","27.27","28.48","28.94","34.54","21.95","28.25","-1.71","-1.22","-0.49","29.21","16.37","39.43","35.30","53.70","55.88","-74.35","26.40","1.50","1.81","-89.66","0.42","42.69","68.61","-10.60","","2018-10-05"
"ADANITRANS","148.90","47470.00","1340118.28","-0.57","-11.79","-31.68","-3.09","1.43","154.44","154.96","168.86","166.37","176.81","171.98","184.45","175.60","179.52","175.31","166.73","173.39","179.77","178.59","207.71","145.92","176.81","-9.14","-4.82","-4.32","26.97","12.44","33.28","27.53","11.90","12.66","-90.07","170.15","8.50","10.30","-91.99","0.25","0.00","0.00","-69.05","","2018-10-05"
"ADFFOODS","206.10","25194.00","66644.02","-1.65","-8.74","-24.06","-11.34","-15.10","213.69","213.82","228.18","226.70","242.27","233.53","246.99","239.72","245.99","242.27","245.55","244.20","252.10","249.62","287.39","197.15","242.27","-11.61","-7.14","-4.47","40.79","9.32","35.13","21.74","17.92","27.32","-108.52","225.95","5.55","10.08","-96.68","0.01","0.00","14.13","-65.30","","2018-10-05"
"ADHUNIK","2.95","36335.00","64930.14","3.51","5.36","-13.24","-11.94","-28.92","2.83","2.86","2.92","2.93","3.04","3.02","3.22","3.16","3.34","3.26","3.45","3.44","4.08","3.88","3.46","2.62","3.04","-0.16","-0.16","0.00","22.06","15.43","23.19","43.55","73.33","52.54","155.17","2.65","0.15","0.20","-60.00","-0.28","100.00","82.33","-0.45","","2018-10-05"
"ADHUNIKIND","58.80","34956.00","25211.64","-1.51","5.57","-16.30","-16.71","14.62","59.52","59.54","60.64","60.94","62.44","62.36","65.72","64.59","68.28","66.20","68.78","68.21","75.43","70.29","69.34","55.53","62.44","-2.70","-2.67","-0.02","20.03","8.64","21.36","37.84","69.72","67.95","-113.26","63.85","6.20","5.50","-58.84","-0.22","52.83","79.99","-11.45","","2018-10-05"
"ADLABS","16.20","138438.00","192166.92","-5.26","-14.74","-55.06","-55.43","-75.36","16.69","17.57","23.14","21.91","26.66","24.58","30.10","27.79","31.44","30.10","34.10","34.42","46.38","45.57","40.51","12.80","26.66","-4.76","-3.51","-1.24","45.23","6.44","41.49","16.22","22.09","13.88","-27.53","21.44","1.55","2.31","-95.43","-0.52","79.97","76.83","-19.85","","2018-10-05"
"ADORWELD","295.80","9298.00","19693.14","-1.71","-6.08","-16.01","-3.19","-30.86","299.13","300.83","314.94","312.68","326.75","319.50","335.87","325.24","331.56","328.10","324.94","337.98","388.38","386.04","376.62","276.89","326.75","-11.43","-7.21","-4.22","33.04","14.16","31.62","37.67","40.15","41.56","-81.38","368.22","16.95","19.03","-81.84","0.02","49.67","44.49","-56.40","","2018-10-05"
"ADROITINFO","24.00","1005.00","11709.00","3.90","-2.24","-19.60","-3.61","0.00","23.99","24.18","25.93","25.51","27.04","26.22","27.22","27.05","27.93","27.63","28.43","28.40","","","31.60","22.48","27.04","-1.27","-0.84","-0.42","25.49","12.83","35.62","38.80","25.76","19.35","-79.23","26.92","2.15","1.72","-75.16","-0.14","94.94","40.59","-5.85","","2018-10-05"
"ADSL","12.65","13039.00","29853.52","-3.07","-8.66","-14.24","-27.92","-35.46","12.80","13.00","14.13","13.75","14.58","14.10","14.58","14.51","14.79","14.90","15.72","15.88","19.50","18.46","16.90","12.26","14.58","-0.62","-0.36","-0.26","31.72","11.98","17.73","33.32","35.57","28.01","-55.56","15.25","1.40","1.44","-84.82","-0.24","72.60","74.44","-2.10","","2018-10-05"
"ADVANIHOTR","48.50","24060.00","21259.44","1.15","7.42","0.41","-2.90","-9.94","47.41","47.68","46.92","47.57","48.58","47.91","48.64","48.54","49.23","49.28","50.69","51.35","59.83","56.82","54.33","42.83","48.58","-0.67","-0.79","0.13","22.51","25.27","15.92","50.99","74.10","73.51","66.84","41.79","3.00","3.01","-43.82","-0.17","86.16","87.12","0.20","","2018-10-05"
"ADVENZYMES","175.20","77088.00","165969.16","-3.28","-7.13","-16.59","-17.84","-29.53","182.88","182.53","193.40","191.44","201.74","196.17","205.14","201.47","207.45","205.10","211.24","211.83","233.13","230.98","230.56","172.92","201.74","-8.32","-5.59","-2.73","27.69","11.35","36.68","24.05","22.48","23.37","-133.85","200.77","12.35","8.83","-91.81","-0.12","0.00","41.74","-34.85","","2018-10-05"
"AEGISCHEM","185.05","92526.00","116811.64","-1.54","-6.11","-14.19","-10.80","-20.05","189.97","189.85","201.40","198.51","205.72","203.93","215.38","211.51","222.97","217.56","228.41","227.49","252.22","237.55","227.85","183.59","205.72","-9.98","-8.10","-1.88","50.79","5.54","25.70","23.02","19.34","21.75","-72.66","198.92","11.25","9.53","-90.65","-0.25","0.00","6.58","-30.60","","2018-10-05"
"AFL","53.30","66899.00","51954.08","-9.97","-23.69","-32.87","-2.91","0.00","60.98","60.55","70.28","67.29","73.36","69.45","74.04","69.59","67.39","67.99","61.87","64.30","57.28","56.91","89.66","57.05","73.36","-3.15","-0.08","-3.07","26.98","14.02","37.22","27.38","13.70","18.51","-138.66","74.72","5.90","5.50","-100.00","0.61","0.00","5.39","-26.10","","2018-10-05"
"AGARIND","206.35","4401.00","4386.16","-1.05","-18.73","-29.68","-29.03","-61.86","215.50","217.63","238.93","235.73","251.71","246.52","270.28","259.76","279.67","268.24","277.45","285.71","362.62","368.01","299.46","203.97","251.71","-19.40","-14.98","-4.42","26.09","8.96","25.49","24.06","18.75","24.48","-97.32","249.17","18.50","19.92","-91.22","-0.19","0.00","8.40","-87.10","","2018-10-05"
"AGCNET","68.70","3617.00","6092.96","0.81","-0.36","-34.16","-32.68","-39.04","68.12","69.47","76.78","76.42","84.86","81.66","92.91","88.65","98.94","93.56","104.22","100.25","112.82","108.49","111.22","58.50","84.86","-9.55","-8.07","-1.48","42.67","5.96","34.38","16.00","35.75","27.91","-72.82","72.24","4.80","5.77","-87.30","-0.40","100.00","97.65","-35.65","","2018-10-05"
"AGLSL","70.65","1954.00","6604.24","0.64","-1.19","-11.63","-13.95","-43.62","70.03","70.52","72.08","72.05","73.85","73.44","76.29","75.71","79.03","77.86","82.01","82.60","96.60","95.41","80.58","67.12","73.85","-2.65","-2.52","-0.14","39.85","6.28","22.72","41.19","52.59","41.87","65.96","72.05","2.20","4.21","-61.25","-0.28","94.17","93.31","-9.30","","2018-10-05"
"AGRITECH","63.05","17607.00","25071.90","6.77","-6.87","-22.02","-38.61","-32.57","60.90","61.63","64.12","64.43","68.14","67.17","72.71","72.23","77.59","77.59","91.23","88.20","112.54","102.72","81.87","54.42","68.14","-5.36","-5.27","-0.09","24.99","18.65","26.40","41.05","39.17","38.41","-0.36","52.69","7.50","6.13","-48.77","-0.72","100.00","74.31","-17.80","","2018-10-05"
"AHLEAST","244.20","2765.00","4201.12","0.08","-5.71","-7.15","-5.02","-7.87","245.11","246.41","256.11","253.33","259.93","256.49","262.05","259.89","262.84","262.92","267.41","269.69","289.44","276.17","280.69","239.16","259.93","-5.49","-3.09","-2.41","23.42","21.62","20.34","36.03","28.39","22.09","-35.90","279.77","8.10","12.08","-80.35","-0.10","66.58","33.46","-18.80","","2018-10-05"
"AHLUCONT","272.15","113734.00","16954.08","-0.55","-1.31","-13.02","-25.30","-12.87","272.10","273.32","279.54","280.01","286.18","285.81","298.82","295.72","308.56","305.19","326.68","321.79","357.70","335.22","308.15","264.22","286.18","-11.16","-10.67","-0.49","35.35","10.00","24.55","31.50","36.61","27.89","-14.67","288.66","6.60","11.47","-68.85","-0.33","88.48","70.46","-40.75","","2018-10-05"
"AHLWEST","283.05","405.00","1593.50","-1.03","-5.40","-8.99","-7.20","69.54","285.76","286.21","293.16","291.64","296.84","294.10","299.21","296.29","296.63","297.41","300.12","297.09","292.06","279.53","314.17","279.51","296.84","-4.16","-2.17","-1.99","29.64","24.74","17.07","42.08","42.58","40.12","-7.99","300.92","7.00","15.34","-59.29","-0.01","51.07","30.71","-27.95","","2018-10-05"
"AIAENG","1697.95","41832.00","39339.10","-0.30","-2.84","-0.99","12.03","27.68","1732.02","1722.29","1749.76","1739.40","1751.65","1741.74","1751.57","1732.98","1730.43","1714.11","1653.54","1666.23","1562.63","1580.12","1799.68","1703.62","1751.65","-1.10","7.97","-9.07","14.06","13.69","14.29","43.09","16.54","28.02","-98.75","1801.21","29.50","61.25","-70.43","0.19","0.00","1.25","-16.95","","2018-10-05"
"AICHAMP","13.10","798.00","902.40","-4.73","-21.79","-35.63","-45.07","0.00","14.49","14.40","16.62","16.13","17.26","17.22","19.78","18.88","21.02","20.33","23.75","22.66","","","20.97","13.55","17.26","-2.04","-1.72","-0.32","55.45","8.24","55.90","21.15","0.00","0.00","-106.76","17.46","0.65","0.92","-100.00","-0.66","0.00","0.00","-7.25","","2018-10-05"
"AIFL","199.35","1658.00","163426.06","-10.00","-53.33","-55.86","-55.21","-60.98","256.42","258.61","367.66","335.68","395.78","366.87","420.44","397.39","432.46","414.27","443.78","433.23","457.20","452.37","564.59","226.97","395.78","-53.73","-27.38","-26.35","40.16","4.66","72.86","4.08","0.00","0.00","-87.81","379.14","22.15","20.40","-100.00","-0.18","0.00","0.00","-252.30","","2018-10-05"
"AIONJSW","41.30","28060.00","","4.96","27.27","0.00","0.00","0.00","37.59","37.75","31.45","31.59","","","","","","","","","","","","","","","","","","","","","100.00","100.00","112.79","32.38","1.95","","0.00","","","","","","2018-10-05"
"AIRAN","58.30","17500.00","17230.00","-1.19","-9.26","-16.12","-80.90","-64.88","58.70","59.28","62.87","63.64","64.97","73.22","67.01","102.31","161.94","132.62","218.98","175.49","228.23","201.83","73.45","56.50","64.97","-22.30","-28.76","6.46","68.56","10.38","55.63","16.59","38.49","32.19","-0.17","60.17","2.40","5.18","-76.43","-1.92","95.12","98.37","-11.20","","2018-10-05"
"AISL","67.80","8400.00","8736.00","-7.76","-15.78","-20.93","-27.83","0.00","72.08","72.36","77.97","76.95","80.99","79.35","85.45","82.18","83.70","84.75","90.45","92.20","116.28","116.04","93.55","68.42","80.99","-4.25","-2.88","-1.37","32.52","17.18","53.40","29.77","26.11","17.32","-133.17","87.29","7.50","3.78","-90.53","-0.26","0.00","26.96","-17.95","","2018-10-05"
"AJANTPHARM","1019.50","288190.00","431686.02","1.41","-7.46","-18.39","-0.90","-10.67","1039.83","1040.19","1099.83","1089.71","1143.53","1115.19","1177.14","1133.17","1157.67","1135.48","1091.06","1142.24","1241.38","1201.73","1302.92","984.13","1143.53","-41.90","-23.80","-18.10","33.15","10.33","29.48","31.09","11.28","16.93","-83.79","1156.66","37.00","46.53","-89.83","0.14","47.30","15.77","-229.70","","2018-10-05"
"AJANTPHARM-1M","1020.25","396000.00","846340.00","1.36","-7.20","-18.69","-1.37","-10.84","1043.81","1042.52","1102.71","1092.72","1147.48","1118.52","1181.11","1136.68","1162.14","1138.89","1093.57","1145.37","1244.42","1205.72","1310.44","984.52","1147.48","-42.42","-24.09","-18.33","33.35","10.81","30.38","31.33","10.40","17.93","-76.77","1142.91","29.50","46.16","-91.51","0.14","39.99","13.33","-234.50","","2018-10-05"
"AJMERA","156.35","34858.00","91199.78","0.06","-7.40","-29.43","-24.30","-25.14","158.12","160.24","177.00","173.87","189.89","182.29","199.74","191.78","202.14","198.24","208.38","209.80","246.21","235.19","237.99","141.79","189.89","-14.81","-10.67","-4.14","35.34","8.38","27.46","24.61","19.35","17.71","-72.30","178.80","5.90","11.08","-94.71","-0.21","62.45","67.79","-65.20","","2018-10-05"
"AKASH","94.90","1000.00","5440.00","0.05","33.66","25.20","9.65","0.00","84.51","87.13","78.06","80.66","77.50","78.57","74.64","76.58","72.63","75.77","75.65","75.57","","","91.55","63.45","77.50","3.61","1.54","2.07","16.88","55.89","25.08","66.26","99.93","80.04","97.01","71.28","0.05","5.80","0.00","0.01","100.00","100.00","19.10","","2018-10-05"
"AKSHARCHEM","453.45","5917.00","4420.50","-5.40","-8.24","-8.90","-15.77","-38.38","471.62","471.07","487.05","483.41","496.63","489.93","500.58","499.12","507.25","508.63","535.16","531.81","602.79","593.13","538.64","454.62","496.63","-11.93","-8.55","-3.38","20.19","9.44","21.81","35.83","43.82","44.16","-113.04","509.88","36.75","24.47","-95.94","-0.20","0.00","38.67","-44.30","","2018-10-05"
"AKSHOPTFBR","23.35","1149289.00","1138061.42","-1.89","-11.22","-25.04","-7.89","2.19","24.04","24.19","25.83","25.67","27.22","26.59","28.66","27.64","29.00","28.31","29.18","29.41","33.15","30.70","31.97","22.47","27.22","-1.62","-1.22","-0.41","27.10","13.75","31.05","28.61","20.19","24.57","-103.35","26.51","1.00","1.56","-94.96","-0.14","0.00","14.47","-7.80","","2018-10-05"
"AKZOINDIA","1561.85","3350.00","9157.82","-1.93","-3.63","-9.63","-16.51","-16.00","1593.72","1591.62","1629.87","1626.19","1662.35","1649.52","1691.83","1685.80","1733.85","1716.84","1796.44","1762.99","1828.96","1800.89","1772.98","1551.71","1662.35","-43.96","-37.77","-6.19","46.76","3.26","29.27","20.98","37.92","47.66","-166.67","1619.00","41.10","40.94","-90.74","-0.19","0.00","24.49","-166.45","","2018-10-05"
"ALANKIT","18.60","687386.00","1040015.02","-4.62","-2.36","-19.83","-34.28","-41.78","19.45","19.26","19.43","19.81","20.51","20.47","22.14","21.66","23.20","22.92","25.08","26.14","40.18","33.92","23.91","17.11","20.51","-1.29","-1.36","0.07","19.33","16.34","21.67","33.13","44.43","63.07","-88.78","17.06","1.55","1.64","-69.37","-0.54","25.86","63.13","-4.60","","2018-10-05"
"ALBERTDAVD","568.80","16695.00","69490.72","-1.02","-2.07","-19.16","31.56","104.86","568.36","576.76","621.07","608.15","665.96","615.98","628.41","601.32","559.31","575.31","496.60","524.72","430.79","447.94","838.04","493.88","665.96","-6.93","14.36","-21.28","25.88","21.34","26.47","43.30","49.57","38.68","10.10","681.48","42.70","49.36","-86.33","0.91","53.95","72.34","-134.85","","2018-10-05"
"ALBK","35.35","2897728.00","5246600.06","-1.94","-3.02","-17.41","-14.20","-46.80","35.98","36.09","37.40","37.24","38.48","38.05","39.45","39.20","41.09","40.12","41.73","42.23","49.92","50.86","42.46","34.49","38.48","-1.51","-1.28","-0.23","16.34","16.92","25.35","33.31","48.81","49.05","-72.56","38.31","1.15","1.85","-85.47","-0.20","39.59","68.45","-7.45","","2018-10-05"
"ALBK-1M","34.75","7304000.00","13733500.00","-3.34","-4.92","-19.19","-15.86","-47.74","35.62","35.75","37.10","36.97","38.27","37.84","39.35","39.07","41.09","40.04","41.77","42.22","50.03","50.98","42.52","34.02","38.27","-1.61","-1.37","-0.24","15.60","15.88","24.86","33.86","46.88","49.90","-92.23","39.31","2.20","2.17","-87.18","-0.21","42.26","74.01","-8.25","","2018-10-05"
