"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"VSTTILLERS","1579.85","2884.00","6340.76","1.20","-14.42","-29.08","-31.73","-22.62","1665.70","1657.84","1823.53","1792.80","1909.10","1867.44","2019.70","1965.44","2067.97","2046.60","2219.66","2182.91","2466.06","2280.14","2242.33","1575.87","1909.10","-135.22","-99.74","-35.48","44.87","4.72","42.69","15.72","7.40","6.15","-85.04","1782.60","61.00","73.71","-92.43","-0.36","37.91","12.64","-647.70","","2018-10-05"
"VTL","967.90","35069.00","30735.78","0.33","-3.64","-10.92","-20.28","-25.47","992.29","985.85","1009.74","1009.28","1027.18","1027.50","1063.93","1059.64","1109.05","1088.18","1160.54","1134.62","1239.92","1203.32","1090.28","964.08","1027.18","-35.52","-34.24","-1.28","45.91","6.06","26.64","22.21","32.89","39.61","-106.80","1040.16","78.00","39.68","-63.15","-0.28","17.96","25.90","-118.60","","2018-10-05"
"WABAG","264.90","183724.00","228107.58","-2.43","-14.69","-31.36","-29.59","-55.25","280.05","283.09","328.97","316.10","349.01","332.32","364.59","349.13","363.95","360.98","379.75","386.45","470.14","456.13","439.84","258.18","349.01","-28.09","-16.93","-11.16","38.14","8.47","34.99","21.35","7.31","7.09","-103.82","320.20","17.00","19.16","-97.84","-0.20","0.00","14.06","-121.05","","2018-10-05"
"WABCOINDIA","6346.45","3013.00","4145.72","-1.17","-6.93","-9.93","-8.82","8.39","6606.89","6550.65","6790.14","6727.30","6851.75","6788.10","6889.81","6841.53","6837.38","6887.24","6962.64","6989.21","7315.02","6998.77","7224.46","6479.04","6851.75","-102.00","-36.98","-65.02","24.93","5.96","24.14","31.45","6.67","16.74","-103.81","7135.00","199.70","223.73","-94.54","-0.05","0.00","0.00","-699.50","","2018-10-05"
"WALCHANNAG","96.15","144119.00","242255.02","-3.32","-10.52","-33.18","-32.12","-50.41","99.11","100.52","112.02","109.86","120.04","115.71","127.71","122.79","131.11","127.87","136.87","137.35","167.18","162.29","150.03","90.04","120.04","-10.44","-7.86","-2.57","32.48","15.63","31.97","20.27","29.47","28.69","-70.78","114.05","5.90","7.70","-92.82","-0.29","60.86","80.79","-47.75","","2018-10-05"
"WANBURY","20.15","13319.00","4396.14","-3.59","-5.84","-22.94","-21.14","-46.55","21.02","21.08","22.92","22.41","23.88","23.12","24.37","23.92","24.74","24.56","25.56","26.14","32.55","30.76","28.25","19.51","23.88","-1.25","-0.83","-0.43","20.23","13.66","26.25","30.62","38.72","38.44","-99.29","23.66","1.70","1.47","-96.60","-0.19","10.39","51.44","-6.00","","2018-10-05"
"WEBELSOLAR","31.90","33222.00","81670.10","-3.33","-11.39","-24.59","-30.73","-71.77","33.23","33.38","36.10","35.68","37.99","37.15","39.96","39.26","41.54","41.47","45.09","47.98","73.80","69.63","44.83","31.15","37.99","-2.71","-2.19","-0.52","24.21","13.02","27.71","26.74","26.74","22.47","-104.79","35.10","2.45","2.25","-96.28","-0.49","41.77","69.62","-10.40","","2018-10-05"
"WEIZFOREX","511.00","6232.00","19555.30","-0.59","-0.83","-12.83","1.32","-30.96","505.82","510.47","516.30","518.37","523.76","526.66","554.90","538.59","553.82","553.85","541.82","611.16","885.09","776.78","566.78","480.75","523.76","-15.14","-14.61","-0.54","12.74","16.62","18.18","45.30","60.88","48.11","91.86","569.58","30.00","41.10","-70.73","-0.24","89.19","87.54","-75.20","","2018-10-05"
"WEIZMANIND","38.70","4701.00","13422.44","-4.91","-18.61","-33.28","6.17","-25.93","42.71","42.28","48.34","47.18","51.92","49.31","55.59","50.04","49.08","49.22","44.22","47.55","48.18","48.54","66.08","37.77","51.92","-3.27","-1.16","-2.11","22.07","18.43","39.24","30.65","0.00","5.61","-116.65","53.16","2.80","3.63","-100.00","0.61","0.00","0.00","-19.30","","2018-10-05"
"WELCORP","125.45","1022136.00","1380288.58","-4.24","-11.72","-28.46","7.82","-2.37","131.34","133.37","148.00","144.07","157.33","148.14","155.99","148.71","145.52","146.53","135.90","143.05","144.52","142.10","193.63","121.03","157.33","-5.99","-0.86","-5.13","38.15","17.11","31.80","35.14","48.40","48.91","-58.07","151.50","10.70","11.23","-81.88","0.45","48.55","70.57","-49.90","","2018-10-05"
"WELENT","121.10","691490.00","613793.24","-2.42","-8.67","-27.94","-23.50","-14.42","126.93","126.54","132.60","133.60","141.59","138.65","150.56","145.08","152.64","149.47","161.06","154.90","163.37","157.19","169.48","113.69","141.59","-9.11","-7.56","-1.55","40.44","7.96","29.38","31.93","50.02","58.24","-100.84","115.15","7.90","10.91","-84.34","-0.23","23.39","54.33","-46.95","","2018-10-05"
"WELINV","144.50","18.00","497.32","-2.03","-10.80","-13.00","3.21","32.57","152.32","150.78","156.78","155.00","158.45","155.91","157.47","155.53","152.96","154.85","151.31","154.86","174.51","156.69","169.30","147.59","158.45","-1.18","0.81","-1.99","14.99","16.04","22.95","38.83","13.75","34.60","-120.71","159.37","3.00","8.49","-100.00","0.12","0.00","0.00","-21.60","","2018-10-05"
"WELSPUNIND","55.55","1515327.00","2927557.80","-2.80","-10.91","-25.44","6.32","-18.79","57.81","58.01","62.45","61.70","66.31","63.36","66.84","64.06","64.18","63.58","60.29","62.53","62.70","63.88","79.39","53.24","66.31","-2.59","-1.00","-1.59","41.21","9.83","30.00","29.23","24.33","31.22","-128.41","66.19","2.80","4.14","-97.02","0.31","0.00","6.23","-18.95","","2018-10-05"
